kelime,kok
bıçağını,bıçak:ını
açık,açık
haberi,haber:i
içerledikleri,içerle:dikleri
ağaçlarıyla,ağaç:larıyla
vaziyette,vaziyet:te
büyüseydi,büyü:seydi
sözün,söz:ün
yattığım,yat:tığım
sözüm,söz:üm
yanlışlar,yanlış:lar
taraflarda,taraf:larda
gazetelerini,gazete:lerini
uyursun,uyu:rsun
yaktım,yak:tım
hükmümün,hüküm:mün
şarap,şarap
kavgacı,kavga:cı
hayvanlara,hayvan:lara
pelerinli,pe:lerinli
ciddi,ciddi
istemediği,iste:mediği
aylığı,aylık:ı
doğruldu,doğrul:du
sezerek,sez:erek
geriliyorlar,gerile:yorlar
düşünsenize,düşün:senize
kovalıyorlardı,kovala:yorlardı
dolaşarak,dolaş:arak
vermesinin,ver:mesinin
haklarıymış,hak:larıymış
ailenin,aile:nin
içimize,iç:imize
buruşuyordu,buruş:uyordu
konuş,konuş
zavallılığıma,zavallı:lığıma
üzülme,üzül:me
almanya'da,almanya:'da
kellesini,kelle:sini
görüşmek,görüş:mek
mektepten,mektep:ten
kadarsa,kadar:sa
mahkeme,mahkeme
sonuncusu,sonuncu:su
kanarya,kanarya
yollan,yolla:n
ahlak,ahlak
aynada,ayna:da
edemez,et:emez
istemediğim,iste:mediğim
sarılıp,sarıl:ıp
doğruldum,doğrul:dum
davranılacağını,davran:ılacağını
usta,usta
benziyordu,benze:iyordu
istedi,iste:di
beklemekte,bekle:mekte
alnı,alın
bulunca,bul:unca
atlatacak,atlat:acak
giderdi,gider:di
annenizden,anne:nizden
ağzını,ağız:ını
gitmediğine,git:mediğine
sıkacak,sık:acak
sıkıp,sık:ıp
uç,uç
kucağında,kucak:ında
söylenip,söylen:ip
okşanmış,okşan:mış
düşünde,düşün:de
yatarken,yat:arken
ceketimin,ceket:imin
seni,sen:i
cumartesi,cumartesi
sırıtıyor,sırıt:ıyor
heyecanımdan,heyecan:ımdan
murahhasın,murahhas:ın
buraları,bura:ları
sene,se:ne
yüzmeye,yüzme:ye
üniformalı,üniforma:lı
fokurdatmaya,fokur:datmaya
almalarını,al:malarını
yaprak,yaprak
davransın,davran:sın
oturduğunu,otur:duğunu
yüzmeyi,yüzme:yi
izah,izah
uygun,uygun
gereken,gerek:en
geçse,geç:se
babama,baba:ma
sizler,siz:ler
sebepten,sebep:ten
edemezsiniz,et:emezsiniz
dön,dön
kuruntu,kuruntu
sokakta,sokak:ta
kimsesiz,kimse:siz
münakaşalarına,münakaşa:larına
çalınmış,çalı:nmış
insanlar,insan:lar
bileceğini,bil:eceğini
evi,ev:i
birisi,birisi
tepeleri,tepe:leri
dalmış,dal:mış
kokularına,koku:larına
acımaktan,acı:maktan
oynarken,oyna:rken
eve,ev:e
arabalara,araba:lara
fevkalade,fevkalade
girişinin,giriş:inin
kanlarına,kan:larına
götürmeyi,götür:meyi
beklediniz,bekle:diniz
karım,kar:ım
düşündü,düşün:dü
teleskop,teleskop
sersemliğini,sersem:liğini
kaldırdım,kaldır:dım
adımlarınızdan,adım:larınızdan
kuvvetliydi,kuvvetli:ydi
noktayı,nokta:yı
adımda,ad:ımda
görmüyordum,gör:müyordum
oda,od:a
yememiştim,ye:memiştim
tepiniyor,tepin:iyor
ruhumun,ruh:umun
çöken,çök:en
fırladı,fırla:dı
içer,iç:er
dalıyor,dala:yor
biri,biri
mantıklarını,mantık:larını
yükseltti,yüksel:tti
üzerindeki,üzeri:ndeki
olmayacaktı,ol:mayacaktı
kafa,kafa
kereste,keres:te
katıldı,katıl:dı
bire,bir:e
yeis,yeis
saklamadan,sakla:madan
gezmeye,gez:meye
gezmeyi,gez:meyi
ötemde,öte:mde
seyrediyorsunuz,seyret:iyorsunuz
etmediğini,et:mediğini
tanımam,tanı:mam
tanımak,tanı:mak
dokunmamak,dokun:mamak
öğrenmedim,öğren:medim
yokluğunu,yok:luğunu
göğsünden,göğüs:nden
mehmet,mehmet
boyandığı,boyan:dığı
tıpayı,tıpa:yı
oradaydınız,ora:daydınız
çamaşır,çamaşır
mırıldanmaya,mırıldan:maya
inanmıyorum,inan:mıyorum
durgunluk,durgun:luk
görünerek,görün:erek
açar,aç:ar
basılmış,bas:ılmış
çıkarmamış,çıkar:mamış
buralara,bura:lara
edişinden,et:işinden
dikilip,dikil:ip
aklımıza,akıl:mıza
zamanlar,zamanla:r
muydum,mu:ydum
şeyinizi,şey:inizi
peydahladıkları,peydahla:dıkları
masum,masum
kutudan,kutu:dan
düştü,düş:tü
yetenekli,yetenek:li
babamı,baba:mı
tabii,tabii
rahatınızı,rahat:ınızı
saatin,saat:in
kurbağa,kurbağa
hademe,hademe
gideceğimi,git:eceğimi
alametler,alamet:ler
kumlar,kumla:r
andreas,andreas
ağrı,ağrı
kararlarımın,karar:larımın
sessizliğine,sessiz:liğine
gelmediğini,gel:mediğini
çıkaranın,çıkar:anın
esniyor,esne:iyor
inerek,in:erek
etmişim,et:mişim
zil,zil
himaye,himaye
geldi,gel:di
vaziyetteydi,vaziyet:teydi
ablalarıma,abla:larıma
baba,baba
çağırıyordu,çağır:ıyordu
yanağını,yanak:ını
tahsilden,tahsil:den
karış,karış
uydurması,uydurma:sı
ağırbaşlı,ağırbaşlı
döküldüler,dök:üldüler
yalnızlığımı,yalnız:lığımı
salonunu,salon:unu
taşırırsın,taşır:ırsın
ağzına,ağız:ına
yazısı,yazı:sı
kaybolmaya,kaybol:maya
oluşumda,oluşum:da
lütfunu,lütuf:nu
ancak,ancak
sorarız,sor:arız
kafamdan,kafa:mdan
şimdilik,şimdi:lik
peki,peki
değişiklikti,değişik:likti
hafif,hafif
sustum,sus:tum
manzara,manzara
aylarını,ay:larını
yugoslavya'nın,yugoslavya:'nın
sustuk,sus:tuk
etti,et:ti
akşamkine,akşamki:ne
gözlemekte,gözle:mekte
saatim,saat:im
tük,tük
aleksandr,aleksandr
ihtiyaçlarımın,ihtiyaç:larımın
tüm,tüm
tür,tür
bakabilirsiniz,bak:abilirsiniz
sırttan,sırt:tan
beni,ben:i
karşılaştım,karşılaş:tım
zaruretler,zaruret:ler
karşılaştık,karşılaş:tık
sanatlara,sanat:lara
ihtirası,ihtira:sı
bilseydi,bil:seydi
kımıldattım,kımılda:ttım
ettiklerine,et:tiklerine
yapabilirdim,yap:abilirdim
söylemiş,söyle:miş
ettiklerini,et:tiklerini
ıstırap,ıstırap
yarasa,yarasa
başlayacak,başla:yacak
sağdı,sağ:dı
olduğundan,ol:duğundan
noktaya,nokta:ya
bankalarda,banka:larda
sakallı,sakallı
çıkaran,çıkar:an
sıkı,sıkı
tanımamasındaydı,tanı:mamasındaydı
çıkarak,çık:arak
zampara,zampara
okuyordunuz,oku:yordunuz
başlayan,başla:yan
hayretimin,hayret:imin
edilmekten,et:ilmekten
isteklerimin,istek:lerimin
bitmeyecek,bit:meyecek
gölcük,gölcük
fırlatıp,fırla:tıp
ikisini,iki:sini
tanığı,tanık:ı
gideceksiniz,git:eceksiniz
bilmece,bilmece
dinleyelim,dinle:yelim
histir,his:tir
kimsenin,kimse:nin
planlarını,plan:larını
anının,an:ının
biberle,biberle
söyleniyordum,söylen:iyordum
kolaylık,kolay:lık
gömülerek,göm:ülerek
tarafımda,taraf:ımda
milli,milli
beşer,beşer
darılmama,darıl:mama
eteğini,etek:ini
çıkmaz,çıkmaz
adresim,adres:im
tamamı,tamam:ı
devamlılığı,devam:lılığı
hanıma,han:ıma
çıkmam,çıkma:m
dehşete,dehşet:e
tekrarlamaktan,tekrarla:maktan
kımıldanmadığını,kımıldan:madığını
kızına,kız:ına
çıkmak,çık:mak
kolaçan,kolaçan
miydi,mi:ydi
operaya,opera:ya
sustuktan,sus:tuktan
anlaşılmaktan,anlaş:ılmaktan
papatyalardan,papatya:lardan
izlemek,izle:mek
tamamen,tamamen
çekilirsiniz,çekil:irsiniz
tıpkısına,tıpkı:sına
kararsız,karar:sız
adamların,adam:ların
açamadı,aç:amadı
müydüm,mü:ydüm
kelimeyle,kelime:yle
çıktı,çıktı
gideceklerdi,git:eceklerdi
irkilen,irkil:en
ısıracaktım,ısır:acaktım
savuruyor,savur:uyor
unuttum,unut:tum
doğal,doğal
kırıntılar,kırıntı:lar
öğrendikleri,öğrendik:leri
yükselen,yüksel:en
hasretini,hasret:ini
yiyip,ye:iyip
yazabilseydim,yaz:abilseydim
kendisiyle,kendi:siyle
çağıracağımı,çağır:acağımı
müze,müze
bıraktığı,bırak:tığı
ördeğin,ördek:in
bilinseydi,bil:inseydi
ararım,ara:rım
hatırlıyor,hatırla:yor
doğar,doğ:ar
ailesini,aile:sini
ikimize,ik:imize
durmadan,durmadan
sebeplerin,sebep:lerin
bitti,bit:ti
ikimizi,ik:imizi
vazifemiz,vazife:miz
edecekler,et:ecekler
olmadığına,olmadık:ına
mektupları,mektup:ları
bulabilirsem,bul:abilirsem
kadınsınız,kadınsı:nız
konuşmayı,konuş:mayı
bildiğinden,bildik:inden
dolaşıyordu,dolaş:ıyordu
tozla,toz:la
hukukla,hukuk:la
yazmak,yaz:mak
sevinçlerde,sevinç:lerde
vaziyetin,vaziyet:in
kızdığı,kız:dığı
kıymetsiz,kıymet:siz
oturanlar,otur:anlar
ağzından,ağız:ından
kaçıp,kaç:ıp
sofradan,sofra:dan
memleket,memleket
yüzümü,yüz:ümü
isterse,iste:rse
içtiği,iç:tiği
edilenlerin,et:ilenlerin
','
istemeyen,iste:meyen
hükümle,hüküm:le
durmaktan,dur:maktan
dayanacağım,dayan:acağım
şekilsiz,şekil:siz
edemediğimiz,edeme:diğimiz
işsizlik,iş:sizlik
oynadıklarını,oyna:dıklarını
zihnimin,zihin:min
sevebilmem,sev:ebilmem
doğruya,doğru:ya
tavalar,tava:lar
tempo,tempo
okutmak,oku:tmak
bankadaki,banka:daki
neresinden,nere:sinden
demirleri,demir:leri
istikametine,istikamet:ine
santime,santim:e
yiyemiyorlar,ye:iyemiyorlar
zannediyoruz,zannet:iyoruz
hizmetçinin,hizmetçi:nin
kollarına,kol:larına
peşlerinden,peş:lerinden
doktorlara,doktor:lara
edildiğinde,et:ildiğinde
sevdasıyla,sevda:sıyla
turta,turta
frenk,frenk
kafasında,kafa:sında
saçmaya,saç:maya
uçurulabilirdi,uçur:ulabilirdi
hakkında,hak:kında
eğlendim,eğlen:dim
eğlendin,eğlen:din
sırrın,sır:rın
treniyle,tren:iyle
almayı,al:mayı
buldukları,bul:dukları
geçirdi,geçir:di
kıvrık,kıvrık
numarası,numara:sı
çekinmeden,çekin:meden
tırmalayan,tırmala:yan
bakmakta,bak:makta
kavga,kavga
vaktine,vakit:ne
etmemek,et:memek
şişmanlığı,şişman:lığı
manalı,mana:lı
kırmızılık,kırmızı:lık
yine,yine
bakışlarla,bakış:larla
yandan,yan:dan
sokarlar,sok:arlar
olmadığını,olmadık:ını
beklenmedik,beklenmedik
yaklaşamadı,yaklaş:amadı
hakkımdaki,hak:kımdaki
antipatiler,antipati:ler
karıştırırken,karış:tırırken
hırkası,hırka:sı
mırıldandı,mırıldan:dı
desteklenen,destekle:nen
ihtiyacından,ihtiyaç:ından
elindekini,el:indekini
zarif,zarif
annenizle,anne:nizle
ağaçları,ağaç:ları
artırılmasını,artır:ılmasını
anlatabilirsiniz,anlat:abilirsiniz
yağmaya,yağma:ya
uyanıyordum,uyan:ıyordum
saatlerini,saat:lerini
yetinmek,yetin:mek
öğretmenimiz,öğretmen:imiz
havuzda,havuz:da
bugünden,bugünden
savurmuş,savur:muş
oturulmaktan,otur:ulmaktan
burasında,bura:sında
yutması,yut:ması
yatağa,yatak:a
münasebet,münasebet
uymaz,uymaz
hususiyeti,hususiyet:i
gaye,gaye
dizeleri,dize:leri
cız,cız
bakarak,bak:arak
vuruyordu,vur:uyordu
yapraklarını,yaprak:larını
yıkılacak,yık:ılacak
arzuyu,arzu:yu
hayretleri,hayret:leri
olamayacağımı,ol:amayacağımı
okuyabilecek,oku:yabilecek
dolusu,dolu:su
kutu,kutu
çevirmeye,çevirme:ye
çemberin,çember:in
kabıyla,kap:ıyla
biriydi,bir:iydi
şundan,şu:ndan
sepelemeye,sepele:meye
çıkacak,çık:acak
muvafakat,muvafakat
bankada,banka:da
hareketlerimin,hareket:lerimin
bulduğum,bul:duğum
saflığından,saf:lığından
kucağa,kucak:a
doktorlar,doktor:lar
almaya,al:maya
kibarlığına,kibar:lığına
çukur,çukur
yanıtını,yanıt:ını
bulamadığım,bula:madığım
senelerce,sene:lerce
karımdan,kar:ımdan
tereddütler,tereddüt:ler
avuçlarıyla,avuç:larıyla
jürisiz,jüri:siz
imandan,ima:ndan
görmedim,gör:medim
düşündüğüm,düşün:düğüm
tepesindeki,tepe:sindeki
gülümsedim,gülümse:dim
topluyor,topla:yor
sıyrılıyor,sıyrıl:ıyor
boğdu,boğ:du
tavşanlardan,tavşan:lardan
anahtarlar,anahtar:lar
bulmuyor,bul:muyor
gülmeyi,gül:meyi
değiştirdi,değiş:tirdi
ilaç,ilaç
fikrim,fikir:im
şaşırmıştım,şaşır:mıştım
söylediklerimizde,söyle:diklerimizde
tayin,tayin
otursana,otur:sana
havası,havas:ı
aldıktan,al:dıktan
demeye,de:meye
pişir,pişir
izlenime,izlenim:e
kurtulmuş,kurtul:muş
ihtiyarlayan,ihtiyarla:yan
muharrirler,muharrir:ler
yürüyordu,yürü:yordu
emirler,emir:ler
arzularım,arzu:larım
camlardan,cam:lardan
nispette,nispet:te
tabiiydi,tabii:ydi
savdıracak,savdır:acak
madonna'nın,madonna:'nın
pasaport,pasaport
olmalıydın,ol:malıydın
bavullarımı,bavul:larımı
parlıyordu,parla:yordu
başladığımı,başla:dığımı
ayrıldığını,ayrıl:dığını
faraş,faraş
sallardı,salla:rdı
şaşkınlıktan,şaşkın:lıktan
havalanıyor,havalan:ıyor
sıçratıp,sıçra:tıp
avaz,avaz
iri,iri
evvela,evvela
yüzümden,yüz:ümden
hayretinden,hayret:inden
nöbetine,nöbet:ine
fikrinizi,fikir:nizi
bulgaristan,bulgaristan
istemediğini,iste:mediğini
çiçeklerle,çiçek:lerle
takılıydı,takı:lıydı
şeymiş,şe:ymiş
başucunda,başucu:nda
ulaştı,ulaş:tı
istemiyor,iste:miyor
taraflarında,taraf:larında
akşamları,akşamları
öldürüldüğünü,öldür:üldüğünü
siliniyor,silin:iyor
oturmaktan,otur:maktan
meydanına,meydan:ına
gülerdik,gül:erdik
mamulatı,mamulat:ı
içtiğini,iç:tiğini
bulunurdu,bulun:urdu
hakikiliğini,hakiki:liğini
lale,lale
işgal,işgal
sarımtırak,sarımtırak
istiridyenin,istiridye:nin
puder'den,puder:'den
heyecanını,heyecan:ını
yanaklara,yanak:lara
kendilerinde,kendi:lerinde
gözyaşlarına,gözyaş:larına
imparatora,imparator:a
rikkati,rikkat:i
yutuverir,yut:uverir
edilen,et:ilen
hissetmek,hisset:mek
tutuşan,tutuş:an
alkışlama,alkışla:ma
kederlenmeye,kederlen:meye
keyiflenince,keyif:lenince
duracak,dur:acak
toplanıp,toplan:ıp
tutuyordu,tut:uyordu
geliyorduk,gel:iyorduk
verilmiş,ver:ilmiş
kaybolmaktan,kaybol:maktan
vaziyetinin,vaziyet:inin
kağıdından,kağıt:ından
elbiseden,elbise:den
kafam,kafa:m
kafan,kafa:n
müdürle,müdür:le
terlerini,ter:lerini
çektim,çek:tim
sabahın,sabah:ın
arkaya,arka:ya
vı,vı
sıkıntımın,sıkıntı:mın
döndüğünüzde,dön:düğünüzde
ettiriyordum,et:tiriyordum
alayın,alay:ın
kaybettik,kaybet:tik
gelirdim,gel:irdim
nevri,nevir
şaşırtıcıydı,şaşırt:ıcıydı
karşılaşmış,karşılaş:mış
etrafımızda,etraf:ımızda
vatansever,vatansever
gidiyordum,git:iyordum
olmakla,ol:makla
kapamıştı,kapa:mıştı
dediklerini,de:diklerini
istemektir,iste:mektir
koyduğu,koy:duğu
eti,et:i
ucu,uç:u
olaylar,olay:lar
münhasır,münhasır
cesaretle,cesaret:le
kıyamayarak,kıy:amayarak
dibine,dib:ine
gösterirse,göster:irse
ıslık,ıslık
süzülürken,süzül:ürken
uca,uca
gebe,gebe
madonnam,madonna:m
aksederek,akset:erek
şıpırtıları,şıpırtı:ları
edilenler,et:ilenler
sormaktan,sor:maktan
kendisinde,kendi:sinde
emekle,emek:le
rüya,rüya
rüyaymış,rüya:ymış
ürperdiğini,ürper:diğini
gücenmek,gücen:mek
giyinerek,giyin:erek
yoran,yor:an
günlerce,gün:lerce
görünmüyordu,gör:ünmüyordu
yerleştirince,yerleş:tirince
söylenmeye,söylen:meye
ahmakça,ahmak:ça
verdiğimi,ver:diğimi
kararımızı,karar:ımızı
öylesindir,öyle:sindir
avazı,avaz:ı
çalışırım,çalış:ırım
lokmayı,lokma:yı
gitmiyordu,git:miyordu
görebildiği,gör:ebildiği
yalvarışlarınızda,yalvar:ışlarınızda
weber'in,weber:'in
biliyordu,bil:iyordu
hayatımla,hayat:ımla
yüzünüzün,yüz:ünüzün
mantolu,manto:lu
değişmelerin,değiş:melerin
masamda,masa:mda
kendilerinden,kendi:lerinden
karınız,kar:ınız
üzerinden,üzeri:nden
azarla,azarla
yolunu,yol:unu
görerek,gör:erek
kurarak,kur:arak
ve,ve
şeyimi,şey:imi
yapılmaması,yap:ılmaması
görün,gör:ün
benzemiyordu,benze:miyordu
görür,görü:r
gezinti,gezinti
görüp,gör:üp
yoluna,yol:una
salatalık,salatalık
şahadetnamesi,şahadetname:si
süzerdi,süz:erdi
mutat,mutat
değişmelere,değiş:melere
kelebeğe,kelebek:e
üşüdün,üşü:dün
çağırmamı,çağır:mamı
şartlarını,şart:larını
gür,gür
beklerken,bekle:rken
duymadığım,duy:madığım
gösteremem,göster:emem
tabaklar,tabakla:r
savuşturmaya,savuştur:maya
dönüyorduk,dön:üyorduk
bahsettiği,bahset:tiği
gül,gül
karardı,karar:dı
gün,gün
mütalaalarıma,mütalaa:larıma
kadınlığın,kadın:lığın
ışıkta,ışık:ta
ulaşana,ulaş:ana
birden,bir:den
fenerinin,fener:inin
dönüştü,dönüş:tü
düşüncelerimin,düşünce:lerimin
sormayın,sor:mayın
atlantik'in,atlantik:'in
yapacağımı,yap:acağımı
yazdım,yaz:dım
yapmak,yap:mak
ılımlı,ılım:lı
bakınıp,bakın:ıp
yapmam,yapma:m
salladığını,salla:dığını
şeyler,şey:ler
sıkıştırarak,sıkış:tırarak
off,off
titremekteydi,titre:mekteydi
görünürdü,görünür:dü
kenarı,kenar:ı
eminim,emin:im
hatırladım,hatırla:dım
ressamdı,ressam:dı
aldırmazdı,aldır:mazdı
kadınların,kadın:ların
diyecek,de:yecek
güvercin,güvercin
anladım,anla:dım
mevcudiyetlerinden,mevcudiyet:lerinden
karşımdakinin,karşı:mdakinin
yaşta,yaş:ta
sıraya,sıra:ya
boylama,boylam:a
edenlerin,et:enlerin
zaman,zaman
azarlarım,azarla:rım
beceremiyormuşum,becer:emiyormuşum
kumlu,kumlu
bulunmuş,bulun:muş
güya,güya
yanaklarını,yanak:larını
maceraya,macera:ya
kaçıran,kaçır:an
elektriklerin,elektrik:lerin
yalvarır,yalvar:ır
bisikletli,bisiklet:li
ablasına,abla:sına
çocukluğumda,çocukluk:umda
ettirmek,et:tirmek
maşallah,maşallah
nükteme,nükte:me
isyanın,isyan:ın
muamelelerinde,muamele:lerinde
ağaçlardan,ağaç:lardan
birindeki,biri:ndeki
ihtiyacı,ihtiyaç:ı
kapıcı,kapıcı
hayır,hayır
işine,iş:ine
gözün,göz:ün
açıldığı,açıl:dığı
gözüm,göz:üm
sanıyordum,san:ıyordum
duvarına,duvar:ına
açıkla,açıkla
kaldığı,kal:dığı
uyan,uyan
çehresi,çehre:si
hallerden,hal:lerden
ciyakladı,ciyakla:dı
bütün,bütün
akıllandığımı,akıllan:dığımı
aldatmış,aldat:mış
sürünüp,sürün:üp
edişime,et:işime
gardroba,gardrob:a
resim,resim
toplantı,toplantı
hislerle,his:lerle
yanıldığını,yanıl:dığını
ortasından,orta:sından
senelerimin,sene:lerimin
burunlu,bur:unlu
zevk,zevk
bulduk,bul:duk
teessürlerimiz,teessür:lerimiz
tabloyu,tablo:yu
kesilemezdi,kes:ilemezdi
gülüşü,gül:üşü
buldum,bul:dum
bakmayı,bak:mayı
üsteledi,üstele:di
konuşuşundan,konuş:uşundan
eseri,eser:i
hoşlanmayacağını,hoşlan:mayacağını
erkenden,erkenden
unutamıyordum,unut:amıyordum
ihtimamla,ihtimam:la
tabloya,tablo:ya
parçalarına,parça:larına
varlığıyla,varlık:ıyla
edemediğim,edeme:diğim
orkestraya,orkestra:ya
doğrusu,doğru:su
beklenebilir,bek:lenebilir
istemedi,iste:medi
değişikliği,değişik:liği
bozulursa,bozul:ursa
ciddileşiyor,ciddi:leşiyor
bakarsanız,bak:arsanız
çalışmam,çalışma:m
çalışmak,çalış:mak
uzatmamıştım,uzat:mamıştım
keman,keman
inceliyordu,incel:iyordu
yöneldi,yönel:di
aldık,al:dık
haince,hain:ce
şakağına,şakak:ına
aldım,al:dım
çekilip,çekil:ip
silkindim,silkin:dim
olabileceği,ol:abileceği
sözcükleri,sözcük:leri
masasına,masa:sına
şaşırması,şaşır:ması
damlası,damla:sı
dediğinde,de:diğinde
bulaşıkları,bulaşık:ları
gidiyoruz,git:iyoruz
konuda,konu:da
müracaat,müracaat
söylenmişti,söylen:mişti
konuşmazlardı,konuş:mazlardı
kucağına,kucak:ına
yapacaksınız,yap:acaksınız
başıyla,baş:ıyla
titreme,titre:me
belaları,bela:ları
boyunun,boyun:un
tanıştığımız,tanış:tığımız
ekmekler,ekmek:ler
gidiyorum,git:iyorum
dolaşır,dolaş:ır
birikiyordu,birik:iyordu
uygulanabilir,uygula:nabilir
sıhhati,sıhhat:i
tanzim,tanzi:m
üçü,üç:ü
farklılık,farklı:lık
zannettiğimiz,zannet:tiğimiz
aydınlanmaya,aydınlan:maya
bulabilirdim,bul:abilirdim
mahpus,mahpus
boyuma,boy:uma
çalışında,çalış:ında
giydiriyordum,giy:diriyordum
yapmazsan,yap:mazsan
diyarında,diyar:ında
gelmediniz,gel:mediniz
dururdu,dur:urdu
arzusuyla,arzu:suyla
alışan,alış:an
olabiliyorsun,ol:abiliyorsun
mütehassıs,mütehassıs
sırada,sıra:da
kuşkuyla,kuşku:yla
köşkün,köşk:ün
alametiydi,alamet:iydi
adamcağızı,adamcağız:ı
öyleydi,öyle:ydi
sarto'nun,sarto:'nun
tomarı,tomar:ı
serinlemek,serinle:mek
üzgün,üzgün
bulunabileceğini,bulun:abileceğini
paylaşırlarken,paylaş:ırlarken
eğildim,eğil:dim
dönüşüyorsan,dönüş:üyorsan
yanaklarına,yanak:larına
almışlar,al:mışlar
sıkışmışlardı,sıkış:mışlardı
zorluyordu,zorla:yordu
isteyenlere,iste:yenlere
göstermediğim,göster:mediğim
tuttum,tut:tum
kaymaktan,kaymak:tan
minnettar,minnettar
meselelerde,mesele:lerde
hükümler,hüküm:ler
hayretten,hayret:ten
dokunmama,dokun:mama
mahalleye,mahalle:ye
seninkine,sen:inkine
kirletecek,kirlet:ecek
sürdü,sür:dü
zehir,zehir
hastaneye,hastane:ye
konuşabiliyordur,konuş:abiliyordur
buruşmuş,buruş:muş
alakalarına,alaka:larına
flamingosunu,flamingo:sunu
tutmakta,tut:makta
uykusunda,uyku:sunda
çağırıyor,çağır:ıyor
manası,mana:sı
sahife,sahife
kraliçeyle,kraliçe:yle
karşıyayken,karşı:yayken
ilişti,iliş:ti
bekçilerinin,bekçi:lerinin
haldeydim,hal:deydim
tesirden,tesir:den
şöyleydi,şöyle:ydi
yaşıyorlar,yaşa:ıyorlar
yaşındaki,yaş:ındaki
damga,damga
kararınca,karar:ınca
gelince,gelin:ce
lüzumu,lüzum:u
zannetmek,zannet:mek
temayüllerinin,temayül:lerinin
saçlarımı,saç:larımı
pencerelere,pencere:lere
çocuğu,çocuk:u
kıymetine,kıymet:ine
elleriyle,el:leriyle
dokunulmuş,doku:nulmuş
ayrıldıktan,ayrıl:dıktan
dinahcığım,dinah:cığım
yatıyordu,yat:ıyordu
etekli,etekli
tanımadığınız,tanı:madığınız
hamleler,hamle:ler
babamdan,baba:mdan
tanıyormuş,tanı:yormuş
çocuğa,çocuk:a
diyarıyla,diyar:ıyla
acınmaya,acın:maya
ettirecek,et:tirecek
itiyorlar,it:iyorlar
alıngan,alıngan
eldivenlerimi,eldiven:lerimi
korkar,kork:ar
ölürdüm,öl:ürdüm
parçalarını,parça:larını
burdaki,bur:daki
saymamalarını,say:mamalarını
ulaşmayı,ulaş:mayı
çalışarak,çalış:arak
sarıyordu,sar:ıyordu
vücudundan,vücut:undan
bakmaya,bak:maya
düşündüklerini,düşün:düklerini
bakıcı,bakıcı
salarım,sala:rım
bahsettik,bahset:tik
zarfında,zarfında
dudağı,dudak:ı
zayıflayan,zayıfla:yan
gülümsüyor,gülümse:yor
dinlerken,dinle:rken
tavşandan,tavşan:dan
kapanmaktan,kapan:maktan
attıklarında,at:tıklarında
işlerle,iş:lerle
okuduklarım,oku:duklarım
bebeğin,bebek:in
olamıyorum,ol:amıyorum
oyaladı,oyala:dı
hakkımız,hak:kımız
muameleye,muamele:ye
kıtayla,kıta:yla
görünmeden,gör:ünmeden
çıktığımı,çık:tığımı
yirminci,yirmi:nci
bağlayın,bağla:yın
muyuz,mu:yuz
tablosuyla,tablo:suyla
muameleyi,muamele:yi
hangisiyse,hangi:siyse
efendimiz,efendi:miz
müzelerdeki,müze:lerdeki
ret,ret
uğuldayan,uğulda:yan
ilacı,ilaç:ı
hayırlı,hayırlı
baygın,baygın
muhayyilemde,muhayyile:mde
olabilirdim,olabilir:dim
bununla,bun:unla
gözlü,göz:lü
sahne,sahne
kalmamamı,kal:mamamı
biber,biber
biçimlerinin,biçim:lerinin
kahraman,kahraman
çalışacaksın,çalış:acaksın
tabağı,tabak:ı
söylüyordunuz,söyle:yordunuz
yaklaştı,yaklaş:tı
onun,onun
yuvarlandı,yuvarla:ndı
birilerine,birileri:ne
talebeye,talebe:ye
temizleyerek,temizle:yerek
aptallaşmışa,aptal:laşmışa
umduğundan,um:duğundan
muhterem,muhterem
çıkarırken,çıkar:ırken
dinleyicileri,dinle:yicileri
parçasına,parça:sına
dayamıştı,daya:mıştı
jacob,jacob
uyudun,uyu:dun
eminsin,emin:sin
sorunu,sorun:u
anlaşılıyor,anlaş:ılıyor
başım,baş:ım
başın,baş:ın
surette,suret:te
ablalarım,abla:larım
alakasını,alaka:sını
başından,baş:ından
eşraf,eşraf
mıhlanmış,mıhla:nmış
azaltacaktım,azalt:acaktım
gönüllülükle,gönüllü:lükle
tereddütsüz,tereddüt:süz
çalışması,çalış:ması
uyduğunu,uy:duğunu
çorbayı,çorba:yı
zorundayım,zor:undayım
koltuğundan,koltuk:undan
söylemeye,söyle:meye
uyuklayan,uyukla:yan
akıbete,akıbet:e
fenerler,fener:ler
yollarına,yol:larına
anlarda,an:larda
örtüsüne,örtü:süne
gazeteye,gazete:ye
dinlerim,din:lerim
bunlarla,bun:larla
neticeler,netice:ler
tersine,tersin:e
alışıyor,alış:ıyor
uçları,uç:ları
psikoloğa,psikolog:a
hayvanı,hayvan:ı
sormaya,sor:maya
çıkacağı,çıkacak:ı
gelmemi,gel:memi
ispat,ispat
buluşacağımızı,buluş:acağımızı
kolumun,kol:umun
gözle,gözle
alınanlarından,alın:anlarından
kanıt,kanıt
içmeden,iç:meden
rastlamadım,rastla:madım
ayırmayacağım,ayır:mayacağım
menetmiştiniz,menet:miştiniz
alacakaranlıkta,alacakaranlık:ta
fısıldaşıp,fısıldaş:ıp
manen,manen
yardımcı,yardım:cı
oynuyorlardı,oyna:uyorlardı
evinde,ev:inde
zannediyorum,zannet:iyorum
reddetti,reddet:ti
